Day	Tmax	Sun Hours
319	12.9	5.6
320	12.8	3.1
321	12.6	4.8
322	13.5	0.0
323	13.5	3.5
324	14.2	2.8
325	15.0	0.8
326	10.2	1.9
327	13.2	1.4
328	13.3	0.0
329	10.6	6.3
330	9.4	4.9
331	7.8	4.0
332	7.7	3.6
333	6.8	0.4
334	5.5	2.9
335	8.2	4.9
336	9.9	1.9
337	7.1	0.0
338	9.4	5.1
339	11.9	3.0
340	10.1	3.4
341	10.2	0.0
342	10.4	3.5
343	10.5	0.0
344	8.6	6.7
345	6.3	1.4
346	7.4	2.7
347	6.0	2.3
348	4.5	0.4
349	1.7	0.3
350	3.5	0.0
351	2.8	3.1
352	-0.4	4.2
353	0.8	6.5
354	0.0	6.6
355	0.8	0.0
356	-0.2	0.9
357	3.2	0.0
358	3.9	1.6
359	5.2	4.1
360	7.4	3.1
361	5.9	2.3
362	3.6	3.3
363	3.3	0.0
364	3.4	0.0
365	3.4	0.9
